noFSG,nom,prenom,sexe,dateNaissance,categorie,idSociete
87334,Lefort,Jérôme,M,2003-02-10,7,08
94745,Laroche,Laurent,M,2011-02-08,4,13
83105,David,Aimé,M,2014-04-27,2,01
86434,Morvan,Thomas,M,1997-10-19,7,14
59622,Bertin,Augustin,M,2011-05-21,4,10
15167,Potier,Benjamin,M,2005-09-24,6,09
28571,Pinto,Richard,M,2010-02-22,4,09
85104,Boulanger,Léon,M,2013-01-27,3,12
92341,Charrier,Augustin,M,2014-06-04,2,03
83618,Jacquet,Yves,M,2016-02-04,1,11
30901,Barbier,Édouard,M,2015-07-15,2,05
81236,Brunet,Lucas,M,2013-03-25,3,05
82620,Muller,Marc,M,2009-07-11,5,07
40403,Delorme,Xavier,M,2015-05-30,2,08
49163,Ollivier,Emmanuel,M,2000-07-26,7,14
38967,Normand,Bernard,M,2012-03-15,3,12
19301,Parent,Benjamin,M,2016-10-23,1,04
99832,Gomes,Stéphane,M,1994-07-13,7,11
99451,Pelletier,Paul,M,2001-03-05,7,13
56255,Poulain,Daniel,M,2011-09-12,4,01
82385,Jacquet,Louis,M,2004-10-09,7,04
90714,Clément,Arthur,M,2017-01-28,1,05
48601,Rémy,Bernard,M,2003-08-29,7,08
66250,Salmon,François,M,2014-06-25,2,05
54048,Henry,Daniel,M,2016-10-19,1,11
25615,Boucher,Honoré,M,2005-04-11,6,06
64433,Perret,Frédéric,M,2012-11-14,3,13
37514,Legrand,Adrien,M,1995-07-04,7,06
33942,Roy,David,M,2008-06-29,5,05
56181,Vasseur,Jacques,M,2014-12-20,2,07
30531,Rivière,Guillaume,M,2010-05-27,4,02
56516,Ferreira,Guy,M,1998-05-07,7,02
15555,Pasquier,Étienne,M,2011-03-23,4,08
69273,Hoarau,Yves,M,2015-03-25,2,04
10214,Colin,Benjamin,M,2000-02-28,7,13
95370,Durand,Joseph,M,2007-04-23,6,04
77113,Lagarde,David,M,2014-11-20,2,14
58076,Dupont,Eugène,M,2010-07-18,4,05
28324,Bernard,Alphonse,M,1993-09-20,H,13
10305,Gaudin,Tristan,M,2008-03-21,5,05
54486,Maury,Alain,M,2010-04-15,4,14
59301,Bernard,Marcel,M,2010-05-13,4,11
